title,description,salary,date_posted
Selby Jennings,Data Steward,"$65,000 - $80,000 a year",2 days ago
Department of Homeland Security - DHS Headquarters,Data Science - Developmental,"$80,800 - $105,500 a year",Today
Aldi,Data Steward,$36.25 an hour,Today
,Data Entry Specialist,$21 - $24 an hour,Today
Mizuho,Market Products Data Domain Steward,"$190,000 - $275,000",4 days ago
TRAC Recruiting,Data Scientist,"$150,000 - $175,000 a year",1 day ago
randstad,Senior Spark Data Engineer,"$140,000 - $155,000 a year",3 days ago
Weights & Biases,Data Analyst,"$99,000 a year",2 days ago
Saxon Global,Lead Data Scientist,"$100,000 - $125,000 a year",12 days ago
Booz Allen Hamilton,"Data Scientist, Mid","$75,600 - $172,000 a year",1 day ago
Healthfirst,Customer Experience Data Analyst,"$67,200 - $97,155 a year",1 day ago
Citi,Data Analytics Senior Manager,"$157,352 - $163,100 a year",Today
Harlem Children’s Zone,Data Aide,$20 an hour,6 days ago
CVS Health,"Manager, Data Engineering","$90,000 a year",1 day ago
Relm Insurance Ltd,Data Scientist,"$80,000 - $100,000 a year",12 days ago
Comforcehealth,"Data Steward - Data Management - Analysts Denver , Colorado Added -...",$65 an hour,4 days ago
CVS Health,Sr. Data Scientist,"$98,717 a year",1 day ago
Massgenics,"Data Steward - Data Management - Analysts Denver , Colorado Added - 4...",$65 an hour,4 days ago
Comforcehealth,"Data Steward - Data Management - Analysts Denver , Colorado Added - 7...",$85 - $100 an hour,4 days ago
Intercontinental Exchange,"Developer, Data Science","$190,000 a year",Today
Dematic,Principal Data Architect (Remote),"$94,000 - $198,000",7 days ago
Bark & Co,Lead Data Scientist,"$156,000 - $187,000 a year",1 day ago
Fors Marsh Group,Data Management Specialist,"$67,000 - $75,000 a year",2 days ago
Peet's Coffee & Tea,Master Data Senior Manager,"$140,000 a year",1 day ago
CVS Health,Sr. Data Engineer,"$120,890 a year",1 day ago
PepsiCo,Data Science Manager,"$125,000 - $217,500",8 days ago
University of California,Senior Data Engineer,"$150,000 - $200,000 a year",12 days ago
Airtable,Data Scientist,"$179,500 - $221,500 a year",4 days ago
Ambry Genetics,"Principal Data Architect-Remote, USA","$156,000 - $180,000 a year",2 days ago
Intone Networks,Senior AWS Data Engineer,$80 an hour,11 days ago
Unreal Gigs,Senior Real-Time Data Engineer,"$170,000 - $230,000 a year",1 day ago
University of Nebraska Medical Center,Data Quality Analyst,"$71,800 - $107,700 a year",1 day ago
3M,Unstructured Data Engineering Lead,"$177,961 - $217,508 a year",5 days ago
Select Source International,Data Warehouse Architect,$80 - $90,11 days ago
RER Solutions,Data Analyst,"$150,000 - $200,000 a year",12 days ago
CareOregon,IS Data Quality Analyst,"$87,135 - $105,435 a year",4 days ago
Quartz,Data Analyst - Enterprise Solutions,"$77,200 - $96,500 a year",4 days ago
Circle,"Senior Data Engineer, Web3","$147,500 - $195,000 a year",1 day ago
Booking.com,Data Engineer,"$165,400 - $181,000 a year",1 day ago
Leidos,Data Engineer,"$82,000 - $92,000 a year",28 days ago
Zscaler,Principal Data Engineer,"$200,000 - $250,000 a year",12 days ago
Booz Allen Hamilton Inc,"Data Analyst, Senior","$75,600 - $172,000 a year",1 day ago
Visa,Data Scientist,"$122,900 - $196,700 a year",18 days ago
NiSource,Sr Data Quality Analyst,"$77,400 - $116,200 a year",1 day ago
Salesforce,Senior Data Modeler,"$125,700 - $243,100 a year",16 days ago
ICF,Lead Data Engineer,"$105,353 - $179,101 a year",2 days ago
PitchBook Data,Sr. Data Engineer,"$180,000 - $200,000 a year",16 days ago
CVS Health,Lead Data Scientist,"$160,000 a year",1 day ago
Jobs for Humanity,Data Scientist,"$150,000 - $200,000 a year",12 days ago
Meta,Data Scientist,"$209,720 - $235,400 a year",11 days ago
Job On Remote Online USA,Data Entry Clerk,$20.5 - $30.0 an hour,27 days ago
sabey data centers,Data Center Operations Intern,"$37,090 - $51,926 a year",1 day ago
Visa,Staff Data Engineer,"$144,600 - $188,000 a year",7 days ago
Bayone,"Senior Engineer, Data Engineering","$250,000 a year",12 days ago
Fullpower,Data Scientist,"$130,000 - $170,000 a year",4 days ago
"ICF International, Inc",Lead Data Engineer,"$105,353 - $179,101 a year",1 day ago
Booz Allen Hamilton Inc,"Data Engineer, Senior","$75,600 - $172,000 a year",1 day ago
SDSU Research Foundation,KPBS Data Analyst,$34.86 - $44.47 an hour,1 day ago
Experis,Data Designer / Modeler,$69,19 days ago
Pluto TV,Data Scientist,"$98,400 a year",13 days ago
On-Board Companies,Data Specialist - Remote,$22 - $30 an hour,4 days ago
BWX Technologies,Data Engineer,"$62,000 - $97,000 a year",Today
Stryker,Staff Data Engineer,"$98,000 - $210,000 a year",9 days ago
Booz Allen Hamilton,University - Data Scientist,"$60,300 - $137,000 a year",5 days ago
"Marsh & McLennan Companies, Inc",Senior Data Platform Engineer,"$95,130 - $166,425 a year",1 day ago
PepsiCo,Sr. Manager Data Engineering,"$135,000 - $227,500",11 days ago
Patterson,Senior Data Engineer (Remote),"$120,000 - $140,000 a year",17 days ago
Albertsons Companies,Senior Data Product Manager,"$118,100 - $165,380",4 days ago
MAXAR,Data Scientist,"$100,000 - $125,000 a year",12 days ago
Oscar Health,Data Scientist II,"$131,200 - $172,200 a year",3 days ago
Mastercard,Lead Data Engineer-1,"$138,000 - $221,000 a year",4 days ago
Precise Solutions,Data Visualization Analyst,"$109,000 a year",29 days ago
Major League Soccer,"Senior Director, Data Engineering","$170,000 - $235,000 a year",1 day ago
Levi Hunter,Business Data Analyst,$60 - $70 an hour,5 days ago
Booz Allen Hamilton,"Data Engineer, Mid","$60,300 - $137,000 a year",1 day ago
Capital One,"Principal Associate Data Scientist, Audit Data Science","$165,100 - $188,500 a year",4 days ago
Booz Allen Hamilton,"Data Analyst, Mid","$60,300 - $137,000 a year",17 days ago
Booz Allen Hamilton Inc,Health Data Architect. Lead,"$84,600 - $193,000 a year",1 day ago
Jobleads-US,Chief Data & Analytics Officer,"$240,000 - $315,000",4 days ago
University of Utah,Data Abstractor,$12 - $22,1 day ago
Discord,Senior Data Engineer - Advertising,"$183,000 - $201,500 a year",Today
General Dynamics,"Data Engineer, Sr","$89,250 - $120,750 a year",11 days ago
MedTeam Staffing,Financial Data Scientist,"$80,000 - $100,000 a year",12 days ago
CBit Technologies,Remote - Azure Data Engineer,$60,17 days ago
Saxon Global,Data Solutions Architect,"$150,000 - $200,000 a year",12 days ago
GovCIO,Senior Data Engineer (Remote),"$120,000 - $135,000 a year",Today
Samsung Electronics America,"Engineer III, Data Engineering","$218,608 - $238,608 a year",3 days ago
"Orion Engineering, Inc",Data Curation Engineer,$42 an hour,4 days ago
,Manager Healthcare Data Engineering,$52 - $75,3 days ago
Booz Allen Hamilton,Azure Data Engineer,"$93,300 - $212,000 a year",4 days ago
"Civitas Resources, Inc","Senior Manager, Data & Analytics Platforms","$175,000 - $225,000 a year",1 day ago
Takeda Pharmaceuticals,"Director, Data Acquisition","$169,400 - $266,200",1 day ago
Insight Global,Data Insight Engineer,$60 - $70 an hour,2 days ago
Takeda,"Director, Data Acquisition","$169,400 - $266,200",1 day ago
Intone Networks,Senior Data Modeler,$85 an hour,5 days ago
Northrop Grumman,Data Engineer / Principal Data Engineer,"$75,300 - $112,900 a year",11 days ago
NiSource,Lead Data Quality Analyst,"$107,000 - $160,500 a year",1 day ago
ICF,Senior Data Architect,"$92,986 - $158,076 a year",6 days ago
"The ACI Group, Inc",Azure Data Engineer (ETL Developer),"$90,000 a year",Today
Nielsen,Lead Data Scientist,"$104,603 - $155,000 a year",4 days ago
Meta,"Data Scientist, Product","$178,418 - $196,900 a year",1 day ago
The Hartford,Data Steward - Hybrid,"$96,560 - $144,840 a year",30+ days ago
Pyramid Consulting Inc,Remote - Senior Data Engineer,"$130,000 - $150,000 a year",27 days ago
Flagship Biosciences,Data Engineer II,"$98,999 - $123,748 a year",11 days ago
Charter Spectrum,Principal Data Engineer I,"$110,800 - $196,400 a year",1 day ago
LHH,Marketing Data Analyst,$40 - $50 an hour,2 days ago
Booz Allen Hamilton,"Data Architect, Senior","$84,600 - $193,000 a year",5 days ago
US Capital,Data Entry Specialist,$20 an hour,4 days ago
GovCIO,Sr. Azure Data Engineer (Remote),"$125,000 - $135,000 a year",Today
Booz Allen Hamilton,Big Data Architect,"$84,600 - $193,000 a year",1 day ago
xBrain Info Tech,Data Entry Assistant (100% Remote),$19 - $29 an hour,1 day ago
CVS Health,Sr Data Engineer,"$97,335 - $201,900 a year",3 days ago
Gemraj Technologies Ltd,Data Architect-Remote-C2c,"$200,000 - $250,000 a year",12 days ago
LCD Pharmacy,Data Entry Specialist,"$100,000 - $125,000 a year",12 days ago
First Citizens Bank,Data Analyst III,"$140,275 - $150,800 a year",13 days ago
Tropic,Senior Data Analyst,"$130,000 a year",Today
"Sky Systems, Inc. (SkySys)",Financial Data Admin,$20 - $22 an hour,7 days ago
Abacus Service Corporation,Temporary Data Entry Specialist,"$100,000 - $125,000 a year",12 days ago
"Longboard Pharmaceuticals, Inc","Director, Data Management","$200,000 - $220,000 a year",12 days ago
"Episource, LLC","Manager, Data Operations","$130,000 - $165,000 a year",Today
Universal Technical Institute,Senior Cloud Data Engineer,"$130,000 - $140,000 a year",2 days ago
"CHA, Inc",ITS Data Analyst II,"$87,000 - $108,000 a year",1 day ago
Capital One,"Manager, Data Scientist - Commercial Banking Data Science","$201,400 - $229,900 a year",1 day ago
Booz Allen Hamilton,Healthcare Data Engineer,"$75,600 - $172,000 a year",2 days ago
BlackRock,"Vice President, Data Modeling","$157,500 - $214,500 a year",1 day ago
Booz Allen Hamilton,"Data Scientist, Lead","$110,100 - $250,000 a year",9 days ago
PitchBook Data,Data Engineer,"$90,800 - $150,000 a year",4 days ago
Heluna Health,Data Scientist- Calaim,$51.00 - $68.72 an hour,12 days ago
CVS Health,Senior Data Engineer,"$97,335 - $201,900 a year",2 days ago
tanishasystems,Databricks - Data Engineer,"$130,000 a year",28 days ago
Booz Allen Hamilton,Cloud Data Engineer,"$75,600 - $172,000 a year",3 days ago
Cotiviti,Data Scientist I,"$93,000 - $109,000 a year",1 day ago
Level One Personnel,Clinical Trials Data Director,"$150,000 - $200,000 a year",1 day ago
Spectrum,Principal Data Engineer I,"$110,800 - $196,400 a year",3 days ago
Genesis10,Data Solutions Architect,$60 - $68,4 days ago
Booz Allen Hamilton,"Data Engineer, Senior","$75,600 - $172,000 a year",3 days ago
Russell Tobin,Data Entry Specialist,$20 an hour,4 days ago
S&P Global,Commercial Data Steward,"$125,000 - $135,000 a year",Today
Sodexo,"Senior Manager, Data Quality","$82,300 - $124,520 a year",Today
"Technogen, Inc",Technical Consultant – Data Developer,"$60,000 - $130,000 a year",10 days ago
Guardian Life,"Data Analytics Lead, Individual Markets","$146,010 - $239,880 a year",1 day ago
Next Recruiting,Data Entry Assistant (100% Remote),$30 - $35 an hour,1 day ago
Nova Space Inc,Data Engineer,"$70,000 - $118,000 a year",7 days ago
Job On Remote Online USA,Data Entry Specialist,$28 - $50 an hour,27 days ago
Booz Allen,Data Scientist,"$75,600 - $172,000 a year",11 days ago
Resource Informatics Group,Data Engagement Director,"$200,000 - $250,000 a year",12 days ago
,100% Remote Data Aanlyst,"$100,000 - $115,000 a year",Today
Booz Allen Hamilton,Python Data Engineer,"$75,600 - $172,000 a year",4 days ago
Stryker,Lead Data Engineer (Remote),"$98,000 - $210,100 a year",6 days ago
Harlem Children’s Zone,Data Science Analyst,"$70,000 - $75,000 a year",16 days ago
Cotiviti,Data Integration Specialist I,"$80,000 - $105,000 a year",1 day ago
Intone Networks,IT Engineer (AWS Data Engineer),$80 an hour,4 days ago
Department of Agriculture - Agricultural Research...,Agroecosystem Data Specialist,"$49,025 - $94,317 a year",Today
WEX,Sr. Data Analyst,"$102,000 - $135,000 a year",30+ days ago
The Shipyard,Associate Director of Data Engineering,"$137,000 - $158,000 a year",1 day ago
SAIC,Data Governance Analyst (Security Clearance Required),"$100,001 - $125,000 a year",1 day ago
Sentara Healthcare,Healthcare Data Analyst (Remote),"$73,819 - $87,447 a year",1 day ago
Booz Allen Hamilton Inc,"Data Scientist, Mid","$75,600 - $172,000 a year",11 days ago
,Data Entry Clerk,$20.90 - $24.20 an hour,Today
Blu Omega LLC,Data Engineer (TS/SCI),"$125,000 - $150,000 a year",10 days ago
San Diego State University Research Foundation,KPBS Data Analyst,$34.86 - $44.47 an hour,5 days ago
Delphi-US,Spatiotemporal Data Scientist,"$80,000 - $100,000 a year",12 days ago
Takeda Pharmaceuticals,DD&T Data Governance Lead,"$149,100 - $234,300",1 day ago
"ICF International, Inc",Data Analytics Specialist,"$63,511 - $107,968 a year",1 day ago
The Tie,Data Engineer (Crypto),"$110,000 - $140,000",1 day ago
GE Aerospace,Director - Enterprise Data Architecture,"$150,800 - $201,000 a year",10 days ago
Leidos,Data Integration Engineer,"$122,200 - $220,900 a year",9 days ago
Booz Allen Hamilton,Research Data Scientist,"$80,000 - $100,000 a year",12 days ago
Booz Allen Hamilton Inc,University - Data Scientist,"$60,300 - $137,000 a year",11 days ago
National Audubon Society,"Senior Coordinator, Data and Technology","$65,000 - $75,000 a year",1 day ago
Booz Allen Hamilton,Mid Data Analyst,"$60,400 - $137,000 a year",2 days ago
LinkedIn,Senior Staff Data Scientist- Flagship Data Science,"$157,000 - $257,000",2 days ago
,Financial Data Specialist,$18.00 - $18.38 an hour,Today
Texas Health Action,Manager of Data and Decision Support,"$85,000 - $110,000 a year",2 days ago
General Dynamics,Data Center Lead,"$152,737 - $206,645 a year",Today
Crisis Text Line,Senior Data Engineer,"$107,000 - $162,000 a year",11 days ago
Takeda,DD&T Data Governance Lead,"$149,100 - $234,300",1 day ago
GEICO,Principal Data Engineer,"$82,000 - $236,500 a year",9 days ago
Salesforce,Data Scientist Senior,"$160,000 - $258,700 a year",4 days ago
Prudential Financial,"Lead, Data Management & Governance - Data Quality","$115,800 - $172,300 a year",30+ days ago
Guardian Life Insurance Company,"Data Analytics Lead, Individual Markets","$146,010 - $239,880 a year",4 days ago
Salesforce,ES Lead Data Engineer,"$176,800 - $243,100 a year",15 days ago
Caffeine,Head of Data,"$205,000",2 days ago
,"Senior Manager, Data Quality","$82,300 - $124,520 a year",Today
SSI,Data Visualization Specialist,"$100,000 - $130,000 a year",5 days ago
Insight Global,Remote Lead Data Engineer (Databricks/AWS),$70 - $80 an hour,2 days ago
State of Colorado,Data Operations Manager - Hybrid,"$68,100 - $88,536 a year",1 day ago
State of Indiana,Senior Data Scientist,"$79,118 a year",1 day ago
UCLA Health,Research Data Programmer,$26.20 - $51.39 an hour,11 days ago
The Information Millennium Group,Energy Data Analyst,"$45,000 - $48,000",Today
State Farm,"Data Engineer, Neo4j - Remote","$82,786 - $156,200 a year",3 days ago
Allocate Inc,Director of Data/AI Strategy,"$170,000 - $200,000 a year",1 day ago
Pyramid Consulting Inc,Data Analyst (100% Remote),$55 - $60 an hour,28 days ago
Booz Allen Hamilton Inc,"Health Data Scientist, Senior","$96,600 - $220,000 a year",1 day ago
Workoo Technologies,Remote Data Entry Processors (Marketing),$10 - $16 an hour,2 days ago
Mathematica,Senior Data Security Analyst (Remote Eligible),"$90,000 - $130,000 a year",1 day ago
Harnham,"Senior Data Architect, Databricks Expert",$95 - $115,4 days ago
Booz Allen Hamilton,Health Data Scientist,"$110,100 - $250,000 a year",23 days ago
Booz Allen Hamilton,Data Platform Engineer,"$84,600 - $193,000 a year",4 days ago
ManTech International,Cloud Data Engineer,"$122,600 - $204,200 a year",1 day ago
CVS Health,Lead Data Engineer,"$115,000 - $240,000 a year",30+ days ago
The Hartford,Sr. Data Engineer (Hybrid),"$110,560 - $165,840 a year",3 days ago
OCT Consulting LLC,Lead Data Analyst,"$130,000 - $160,000 a year",4 days ago
"All Things HR, LLC",Workforce Data Analyst,"$85,536 - $120,360 a year",9 days ago
StateJobsNY,Data Analyst 2,$529,Today
Circle,Senior Data Analyst,"$122,500 - $162,500 a year",4 days ago
Booz Allen,Azure Data Analytics Technical Lead,"$96,700 - $220,000 a year",11 days ago
Booz Allen Hamilton,"Data Engineer Manager, Lead","$96,600 - $220,000 a year",1 day ago
Johns Hopkins HealthCare,Data Architect,"$150,000 - $200,000 a year",12 days ago
Innova Solutions,Bioinformatics Data Engineer,$60 - $70 an hour,2 days ago
Sawhorse Productions,"Data Analyst, Roblox Games (Contract)",$30 - $46 an hour,Today
WEX,"Master Data Management (MDM), Developer","$89,000 - $118,000 a year",3 days ago
Genesis10,Data Architect/Java/Spring,$60 - $68,3 days ago
Genesis10,Information Architect/Data Architect,$70 - $80,4 days ago
Booz Allen Hamilton,"Data Scientist, Senior","$96,600 - $220,000 a year",21 days ago
Base2 Solutions,Data Scientist,"$150,000 - $200,000 a year",12 days ago
Dolby,Sr Data Visual Research Scientist,"$144,600 - $176,700 a year",1 day ago
Booz Allen Hamilton,Tech Excellence Data Scientist,"$75,600 - $172,000 a year",6 days ago
Global Alliant Inc,Senior Data Scientist,"$150,000 - $200,000 a year",12 days ago
Booz Allen Hamilton,"Analytics Data Scientist, Senior","$96,600 - $220,000 a year",1 day ago
Deutsche Bank,Data Governance Specialist - Vice President,"$130,000 - $200,000 a year",2 days ago
CVS Health,Sr Data Consultant,"$97,335 - $201,900 a year",3 days ago
Citi,Data Science Lead Analyst,"$163,238 a year",1 day ago
EMW Staffing Solutions LLC,Data Science Manager,"$170,000 - $210,000 a year",30+ days ago
Booz Allen Hamilton Inc,Data Catalog Administrator,"$96,600 - $220,000 a year",11 days ago
